Gruppe;ValgstedId;KredsNr;StorKredsNr;LandsdelsNr;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_18-29 år_0 - 3 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_18-29 år_3 - 6 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_18-29 år_6 - 9 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_18-29 år_9 - 12 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_18-29 år_Modtog ikke ydelser;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_30-49 år_0 - 3 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_30-49 år_3 - 6 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_30-49 år_6 - 9 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_30-49 år_9 - 12 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_30-49 år_Modtog ikke ydelser;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_50-59 år_0 - 3 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_50-59 år_3 - 6 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_50-59 år_6 - 9 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_50-59 år_9 - 12 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_50-59 år_Modtog ikke ydelser;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_60- år_0 - 3 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_60- år_3 - 6 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_60- år_6 - 9 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_60- år_9 - 12 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_60- år_Modtog ikke ydelser
;151002;20;2;1;180;65;51;132;883;273;98;76;400;1143;100;36;15;339;641;37;36;13;2102;278
;151003;20;2;1;24,74;7,61;3,81;20,94;273,13;128,47;32,36;25,69;78,99;536,74;59,00;12,37;9,52;101,83;430,15;18,08;15,23;7,61;718,51;147,51
;151004;20;2;1;81;46;25;73;452;170;55;38;239;694;60;10;15;214;341;24;15;8;722;98
;151005;20;2;1;33;18;14;15;332;237;62;46;60;989;59;24;10;54;614;37;21;10;1052;226
;151006;20;2;1;157;60;43;84;911;287;98;69;293;1132;96;28;22;230;588;38;22;15;1909;222
;151008;20;2;1;69;20;14;79;423;209;71;43;160;993;63;22;7;99;685;33;18;5;1178;230
;151009;20;2;1;49,26;15,39;12,19;34,06;380,87;162,53;48,64;34,31;96,01;787,26;65,00;14,63;6,48;81,17;579,85;20,92;13,77;5,39;937,49;233,49
;151010;20;2;1;32;16;9;22;274;118;43;16;75;542;49;11;6;51;374;12;11;2;474;126
;153001;18;2;1;67;18;19;23;353;244;63;27;108;916;62;17;9;69;456;29;18;7;840;218
;153002;18;2;1;112;41;30;66;441;147;54;41;148;679;83;20;16;160;440;28;21;10;1039;177
;153003;18;2;1;82;41;23;89;378;160;49;45;220;529;52;18;12;139;331;24;17;4;897;169
;153004;18;2;1;153;71;43;108;754;302;90;65;304;1118;109;27;24;279;619;55;38;13;1911;279
;153005;18;2;1;107,22;52,83;34,70;70,44;772,27;284,36;87,53;89,09;339,78;1119,81;100,48;28,49;17,09;279,69;580,62;52,83;32,11;13,47;1291,25;248,62
;153006;18;2;1;99,78;49,17;32,30;65,56;718,73;264,64;81,47;82,91;316,22;1042,19;93,52;26,51;15,91;260,31;540,38;49,17;29,89;12,53;1201,75;231,38
;155001;12;1;1;29;12;11;14;338;129;44;34;62;845;57;29;13;64;683;28;23;7;1439;277
;155004;12;1;1;68;18;20;32;563;346;103;67;179;1671;120;28;16;121;1077;75;46;14;2051;445
;157001;13;2;1;46;21;13;22;733;214;76;58;127;1395;64;22;11;94;981;51;26;11;1573;505
;157002;13;2;1;72;21;19;48;762;269;90;58;139;1282;75;22;18;62;698;38;34;8;1012;318
;157003;13;2;1;34;17;5;26;645;179;67;54;113;1325;85;27;18;71;952;37;28;8;1283;484
;157004;13;2;1;113;57;41;98;972;268;85;56;319;1436;78;29;17;203;710;39;34;13;1293;351
;157005;13;2;1;53;26;8;23;873;247;85;53;97;1680;84;34;15;83;1002;36;27;9;989;411
;157006;13;2;1;31;10;3;17;766;181;52;32;62;1337;78;28;16;61;1117;39;20;8;1801;624
;157007;13;2;1;57;29;13;50;905;192;84;50;88;1397;109;34;31;84;1195;41;36;13;1974;580
;157008;13;2;1;41;25;11;15;615;163;53;53;70;1124;92;30;15;56;772;39;24;9;1463;375
;157009;13;2;1;33;15;21;33;735;157;62;53;104;1323;81;33;20;102;996;37;20;8;1413;535
;157010;13;2;1;62;18;14;25;714;156;55;31;114;1195;76;31;14;58;824;29;21;16;1583;398
;159001;15;2;1;95,10;32,66;20,17;54,76;821,33;237,27;79,73;61,48;163,31;1310,29;70,13;24,02;13,45;125,84;681,08;49,95;26,90;9,61;1508,18;322,77
;159002;15;2;1;144;59;41;63;1230;340;116;87;210;1689;117;29;27;152;795;53;40;13;1531;335
;159003;15;2;1;149;42;31;76;977;369;97;84;230;1604;117;31;16;191;813;53;44;16;1448;320
;159004;15;2;1;125;50;33;58;1106;392;117;72;274;1621;117;30;18;266;979;64;47;22;1717;408
