Gruppe,ValgstedId,KredsNr,StorKredsNr,LandsdelsNr,Boliger og personer efter boligstørrelse_01. Antal boliger_0-39 m2,Boliger og personer efter boligstørrelse_02. Antal boliger_40-79 m2,Boliger og personer efter boligstørrelse_03.Antal boliger_80-119 m2,Boliger og personer efter boligstørrelse_04. Antal boliger_120-159 m2,Boliger og personer efter boligstørrelse_05. Antal boliger_160-199 m2,Boliger og personer efter boligstørrelse_06. Antal boliger_200+ m2,Boliger og personer efter boligstørrelse_07. Antal boliger_Uoplyst areal,Boliger og personer efter boligstørrelse_08. Antal personer_0-39 m2,Boliger og personer efter boligstørrelse_09. Antal personer_40-79 m2,Boliger og personer efter boligstørrelse_10. Antal personer_80-119 m2,Boliger og personer efter boligstørrelse_11. Antal personer_120-159 m2,Boliger og personer efter boligstørrelse_12. Antal personer_160-199 m2,Boliger og personer efter boligstørrelse_13. Antal personer_200+ m2,Boliger og personer efter boligstørrelse_14. Antal_personer_Uoplyst areal
,169014,19,2,1,59.09,196.60,461.76,233.34,79.55,17.43,10.23,75.38,294.33,1211.04,679.96,258.35,74.25,23.49
,173001,14,2,1,104,1921,982,368,127,41,8,129,2768,1996,1007,377,155,173
,173002,14,2,1,740,1725,1025,161,93,71,2,781,2506,2338,450,283,246,5
,173003,14,2,1,989,876,746,474,292,139,5,1060,1305,1696,1257,853,463,17
,173004,14,2,1,94,1487,921,582,249,100,3,100,2194,2016,1669,804,342,8
,173005,14,2,1,12,125,242,132,68,80,3,13,190,490,336,200,265,6
,173006,14,2,1,8,548,540,805,526,295,6,10,761,1320,2392,1653,995,19
,173007,14,2,1,47,341,864,683,234,39,1,49,447,2027,2002,743,135,1
,173008,14,2,1,141,1426,1407,778,223,58,3,150,2162,3169,2241,707,212,16
,173009,14,2,1,124,1189,1025,500,225,84,0,136,1641,2345,1370,711,302,0
,175001,16,2,1,21,843,648,323,121,27,5,21,1247,1515,996,412,96,10
,175002,16,2,1,5,974,1377,221,87,16,2,6,1384,3348,699,308,67,4
,175003,16,2,1,78,1820,1123,522,168,46,8,88,2685,2626,1552,595,234,123
,175004,16,2,1,183,2051,629,116,38,5,0,207,3284,1601,361,124,22,0
,175005,16,2,1,174,1246,1558,486,110,16,1,204,1994,3857,1425,372,92,1
,175006,16,2,1,0,471,1323,649,165,27,0,0,841,3379,2044,520,145,0
,175007,16,2,1,23,465,630,17,0,0,0,24,769,1318,52,0,0,0
,183001,18,2,1,24,79,166,230,136,78,26,26,124,372,668,433,270,39
,183002,18,2,1,66,137,932,307,90,10,0,68,170,2387,982,310,39,0
,183003,18,2,1,107,492,1379,397,91,21,1,113,631,3527,1195,270,70,4
,183004,18,2,1,91.82,769.72,1290.35,169.96,0,0.98,0.98,104.52,1041.27,3649.33,666.18,0,1.95,98.66
,183005,18,2,1,110.18,912.28,742.65,503.04,143,60.02,8.02,158.48,1621.73,1795.67,1497.82,412,217.05,26.34
,185001,12,1,1,21,209,735,1093,270,50,7,23,343,1879,3214,862,190,20
,185002,12,1,1,18,110,836,1240,434,59,4,29,187,2080,3554,1399,237,15
,185003,12,1,1,154,1506,1092,345,128,24,2,178,2359,2607,998,425,102,5
,185004,12,1,1,65,1122,919,328,98,24,6,77,1844,2342,979,303,100,148
,185005,12,1,1,155,238,999,450,165,36,5,209,439,2699,1355,580,156,9
,185006,12,1,1,197,3648,1829,251,49,14,4,246,5770,4124,679,177,41,6
,187001,18,2,1,35,501,1352,362,110,50,3,54,788,3517,1109,355,175,47
,187002,18,2,1,8,232,901,480,180,65,2,9,277,2142,1349,593,209,8
,187003,18,2,1,12,312,1034,793,196,10,0,12,419,2589,2297,627,57,0
,190001,25,3,1,116,1201,1242,1072,566,188,13,128,1751,2667,2793,1647,661,163
,190002,25,3,1,9,72,286,454,348,168,4,9,111,674,1278,1083,586,13
,190003,25,3,1,24,205,636,652,342,129,2,28,266,1431,1806,1037,438,5
,190004,25,3,1,5,92,140,302,55,18,13,10,122,294,761,163,53,40
,190005,25,3,1,41,329,611,883,389,124,0,47,465,1371,2203,1155,354,0
,190006,25,3,1,67,499,1201,1211,399,172,40,93,649,2712,3299,1217,593,96
,190007,25,3,1,45,1109,514,1086,46,44,5,53,1703,1105,3517,144,160,11
,201001,26,3,1,3,73,317,578,211,90,14,3,98,688,1539,651,299,40
,201002,26,3,1,85,449,1009,439,285,100,2,91,583,2190,1183,866,337,3
,201003,26,3,1,11,317,1002,609,358,80,3,12,405,2317,1585,1024,266,12
,201004,26,3,1,19,221,589,728,351,185,9,29,334,1231,1961,1053,715,16
,201005,26,3,1,70,171,432,1026,499,144,9,79,246,887,2743,1577,503,67
,210001,22,3,1,78,670,1055,608,344,183,10,83,886,2271,1637,1031,623,38
,210002,22,3,1,6,274,397,659,338,233,9,14,365,849,1603,905,735,23
,210003,22,3,1,11,822,626,391,251,166,3,15,1156,1350,1049,773,501,11
,210004,22,3,1,41,567,917,501,169,74,5,47,775,2057,1447,494,262,19
,210005,22,3,1,98,526,1808,1536,310,47,8,104,732,4280,4010,902,140,107
,210007,22,3,1,0,177,997,531,129,9,0,0,234,2201,1519,374,33,0
,210008,22,3,1,1,14,66,107,83,144,1,1,21,158,257,229,504,4
,210009,22,3,1,119,439,747,443,150,38,1,122,630,1720,1049,367,140,8
,217001,21,3,1,165.23,2660.54,1618.46,582.52,200.58,83.00,43.80,189.05,3681.88,3171.60,1500.11,529.50,238.23,145.25
,217002,21,3,1,185,2045,2006,625,103,40,21,211,3017,4918,1724,345,155,39
,217003,21,3,1,210,946,1692,556,168,70,5,249,1302,4331,1584,489,218,9
,217004,21,3,1,52,379,787,769,311,150,5,61,519,1727,1942,889,458,15
,217005,21,3,1,74,347,718,678,333,155,26,80,492,1439,1682,940,481,52
,217006,21,3,1,28,23,104,153,92,93,13,53,39,264,422,261,293,26
,217007,21,3,1,9,84,204,179,101,108,6,10,120,474,441,303,375,13
,217008,21,3,1,5,25,223,122,51,27,10,6,43,556,367,157,86,16
,217009,21,3,1,80,465,553,748,283,108,4,90,601,1129,2006,772,332,13
,217010,21,3,1,24,333,516,587,347,173,33,24,435,1141,1636,1016,599,106
,217011,21,3,1,101,516,1367,680,320,79,11,114,733,2903,1829,925,269,25
,217012,21,3,1,49.77,801.46,487.54,175.48,60.42,25.00,13.20,56.95,1109.12,955.40,451.89,159.50,71.77,43.75
,219001,23,3,1,415,1275,1688,824,270,142,20,464,1884,3518,2225,803,493,152
,219002,23,3,1,43,745,932,701,334,85,12,48,982,2036,1926,1026,304,26
,219003,23,3,1,4,24,51,84,105,58,0,6,48,121,223,306,191,0
,219004,23,3,1,0,20,238,175,107,62,4,0,40,557,434,303,211,4
,219005,23,3,1,0,59,225,359,148,111,3,0,92,494,966,457,396,4
,219006,23,3,1,12,496,1111,572,316,85,3,13,682,2634,1696,1053,296,9
,219007,23,3,1,20,126,231,248,182,64,4,24,152,496,616,501,276,12
,219008,23,3,1,0,24,57,136,120,85,0,0,38,136,371,337,266,0
,219009,23,3,1,33,540,765,464,203,47,0,38,748,1602,1249,618,146,0
,219010,23,3,1,163,1159,1402,506,237,73,3,185,1556,3186,1380,736,232,3
