ValgstedId,Opførelsesår_Antal_personer_1970-1979
710010,494
710011,208
710012,927
710013,184
710014,110
727001,2476
727002,15
727003,343
727004,72
727005,208
727006,98
727007,136
727008,99
727009,0
727010,0
730001,485
730002,513
730004,86
730005,242
730006,128
730007,217
730008,535
730009,396
730010,217
730011,534.68
730012,393
730013,599
730014,1076
730015,157
730016,205
730017,332
730021,517
730024,19.32
730025,94
730026,2377
730027,946
730028,24
730029,2920
730030,540
730031,1884
730032,750
730033,43
730034,665
730036,884
730037,148
740001,549
740002,288
740003,395
740004,385
740005,95
740006,1556
740007,1069
740008,116
740009,142
740010,133
740011,260
740012,47
740013,942
740014,104
740015,220
740016,395
740017,142
740018,310
740021,1975
740022,520
740023,1110
740024,170
740025,89
740026,29
740027,575
740028,590
740029,2407
740030,940
740031,156
740032,648
741001,337
741002,50
746001,254
746002,1547
746003,249
746004,2583
746005,534
746006,1460
746007,2623
746008,1148
746009,1651
746010,1205
746011,562
746012,408
751001,0
751002,140
751003,1143
751004,224
751006,3644
751007,251
751008,2121
751009,1218
751010,27.97
751011,859
751012,1107
751013,623
751014,7.32
751016,45
751018,1403
751019,632
751020,59.08
751021,134.62
751022,663
751023,3343
751024,1278
751025,5081
751026,4330
751027,0
751028,2671
751030,756
751031,50
751033,301
751041,65
751042,160
751043,278
751044,150
751045,1140
751047,3594
751048,434
751049,1365
751050,1253
751051,1847
751053,1211
751055,190
751056,168
751061,1922
751062,2448
751063,4512
751064,328
751065,1474
751066,1083
751067,646
751068,2
756001,443
756002,145
756003,516
756004,144
756005,1538
756006,143
756007,4410
756008,227
756009,764
756010,665
760001,1133.54
760002,244
760004,157.28
760007,270.18
760010,1009
760012,259
760014,1869
760016,192
760021,477
760022,414
760024,1567
760025,161
760027,306
760028,183
760030,1458
760032,254
760033,639
760035,690
766001,1141
766002,1395
766003,370
766004,317
766005,88
766006,483
766007,870
766010,275
766011,196
766012,299
766013,151
766014,123
766015,291
766017,329
766020,458
766021,475
766022,313
766023,121
766024,258
773001,176
773002,599.00
773003,346.32
773004,211
773005,1870.68
779020,84
779021,4673
779022,921
779023,790
779024,684
779025,849
779026,937
779027,566
787001,2727.61
787002,448.73
787003,825.26
787004,796.88
787005,391.81
787006,97
787007,339.55
787008,273.80
787009,348.34
787010,250
787011,185.07
787012,303.39
787013,202.55
787014,332
787015,141
791001,661
791002,651
791003,751
791004,603
791005,548
791006,701
791007,550
791008,4104
791009,1672
791011,313
791012,786
791013,3340
791014,550
791015,619
791016,730
791017,604
810001,131
810002,333
810003,1097
810004,174
810005,1133
810006,337
810010,2779
810034,65
810040,124
810050,237
810056,43
810070,275
810080,122
813001,1839
813002,458
813003,202
813004,480
813005,449
813006,4730
813007,404
813008,640
813009,2339
813010,136
813011,115
813012,59
813013,267
813014,85
813015,344
820001,701
820002,1372
820003,100
820004,2111
820005,193
820006,106
820007,201
820008,221
820009,164
820010,791
820011,259
820012,123
820013,151
820014,79
825015,329
840001,2091
840002,794
840003,694
840004,339
840005,357
840006,148
840007,628
840008,172
840009,86
840010,247
840011,43
846002,532
846003,539
846004,723
846008,403
846009,321
846011,1399
846014,93
846018,377
846020,603
846022,250
846027,1610
849001,1220
849002,655
849003,339
849004,208
849005,205
849006,75
849007,100
849008,630
849009,385
849010,174
849011,130
849012,286
849013,821
849014,188
849015,138
849016,84
849018,1478
849020,286
849021,206
851003,260.67
851004,203.33
851005,3550
851007,781
851009,713.55
851010,898.45
851011,1649
851012,74.00
851014,8
851015,20
851016,197.00
851017,905
851018,1855
851019,1512.20
851020,880.80
851022,1622
851024,1483
851027,167.98
851028,28.09
851029,1229.96
851030,294.77
851031,1391
851032,1505
851033,1582
851034,1478.76
851035,1023
851036,775.44
851038,883
851040,5163
851043,1598
851044,894
851046,196
851047,948
851052,312
851056,447
851058,564
851061,1136
860001,506
860003,1087
860004,236
860006,296
860007,268
860008,205
860011,503
860012,254
860013,299
860014,227
860015,1954
860016,2505
860018,2327
860019,726
860020,200
860021,429
860022,964
860023,160
860026,163
860027,158
860028,214
