ValgstedId,Opførelsesår_Antal_boliger_1940-1959,Opførelsesår_Antal_boliger_1960-1969,Opførelsesår_Antal_boliger_1970-1979,Opførelsesår_Antal_boliger_1980-1989,Opførelsesår_Antal_boliger_1990-1999,Opførelsesår_Antal_boliger_2000-2009,Opførelsesår_Antal_boliger_2010-9999,Opførelsesår_Antal_boliger_Før 1940
316009,105,187,251,199,71,239,32,624
316010,103,144,268,128,32,122,22,595
316011,198,278,507,271,74,240,155,702
316012,207,214,339,118,26,74,56,811
316013,229,212,292,133,89,202,24,487
316014,105,129,183,163,50,133,87,623
316015,18,119,85,48,24,31,13,160
320001,243,412,655,286,110,339,191,908
320002,318,404,752,488,283,426,144,1263
320003,156,312,391,309,220,192,76,725
320004,129,183,229,199,149,177,69,796
320005,89,133,207,165,78,254,125,806
320006,55,94,243,246,90,155,85,550
320007,83,207,296,159,89,215,39,550
326001,114,133,204,185,73,277,25,622
326002,15,12,20,25,8,16,3,111
326003,186,201,468,196,83,161,29,770
326004,98,130,273,222,53,171,8,524
326005,55,74,125,52,16,56,15,437
326006,32,45,44,40,18,22,10,110
326007,42,122,71,37,29,43,11,221
326008,85,117,304,124,47,80,10,653
326009,211,243,526,374,89,344,64,528
326010,67,64,41,41,20,30,8,507
326011,35,39,20,9,5,31,3,455
326012,354,265,309,129,28,50,33,965
326013,471,232,78,86,21,242,9,799
326014,46,87,53,19,32,73,5,381
326015,154,296,322,149,30,102,20,413
326016,141,409,489,153,64,279,27,406
326017,40,69,75,10,19,35,4,149
326018,199,537,495,424,180,302,47,60
329001,323,407,564,706,485,1340,212,1477
329002,25,24,16,10,3,8,2,228
329003,23,20,19,25,15,45,6,159
329004,110,364,904,304,36,229,247,301
329005,50,29,22,8,6,20,22,370
329006,813,1035,187,355,86,11,43,483
329008,52,69,24,36,41,74,25,273
329009,56,63,114,24,9,27,5,209
329010,26,88,125,8,10,69,6,197
329011,26,22,6,38,30,16,10,157
329012,18,28,79,10,24,32,10,236
329013,124,54,111,34,9,35,18,182
329014,48,38,46,23,20,27,3,168
330001,61,92,194,126,45,53,17,812
330003,62,25,18,32,75,158,61,306
330004,43,38,206,101,28,92,17,280
330005,841,499,881,365,145,207,29,994
330006,630,749,463,290,162,307,54,1055
330007,96,258,260,113,18,91,36,167
330008,112,172,267,141,39,207,55,442
330009,274,539,1223,548,208,251,22,338
330010,48,68,89,77,37,47,6,395
330011,286,670,738,484,334,419,76,1287
330012,0,0,0,0,0,0,0,0
330013,37,39,70,58,27,46,10,305
330017,0,0,0,0,0,0,0,0
