ValgstedId,Opførelsesår_Antal_personer_1940-1959,Opførelsesår_Antal_personer_1960-1969,Opførelsesår_Antal_personer_1970-1979,Opførelsesår_Antal_personer_1980-1989,Opførelsesår_Antal_personer_1990-1999,Opførelsesår_Antal_personer_2000-2009,Opførelsesår_Antal_personer_2010-9999,Opførelsesår_Antal_personer_Før 1940
360029,202,65,220,88,29,74,8,1627
360035,192,177,341,154,14,75,29,1518
360036,343,481,516,220,7,85,7,1886
360037,117,499,373,259,40,14,57,335
370001,236,298,670,273,278,321,102,2201
370002,57,71,101,17,20,34,5,716
370003,142,111,240,163,19,138,17,1243
370004,64,81,792,220,69,609,263,618
370005,98,73,144,63,19,29,12,570
370006,169,198,570,304,38,254,49,1112
370007,119,110,131,89,94,118,25,986
370008,409,664,1205,498,353,1004,528,480
370009,91,85,346,241,30,161,107,385
370010,80,129,149,79,48,258,66,830
370011,162,292,405,308,118,572,108,1331
370012,33,20,76,2,4,43,5,393
370014,233,318,1074,419,113,387,186,1270
370020,1088,790,948,352,55,636,312,713
370021,566,293,112,296,199,197,67,2132
370022,2861,1747,545,1347,435,455,476,1942
370023,865,1330,1480,629,330,297,71,1310
370024,742,2653,1457,222,219,428,156,584
370026,235,709,1414,86,11,182,86,844
370027,474,1148,309,311,629,1813,592,813
370028,86,735,3160,803,244,53,18,5
370029,67,242,58,74,10,88,40,333
370031,181,142,131,93,44,106,37,1239
370032,134,197,600,278,111,390,83,707
376001,370,97,13,400,268,293,125,3276
376002,960,498,310,52,34,13,4,2325
376003,244,1239,1869,554,58,36,11,172
376004,1404,727,511,60,320,291,9,1153
376005,174,286,389,195,2,472,157,1169
376006,200,140,112,122,12,31,2,1292
376007,597,529,823,790,61,151,71,557
376008,227,207,443,165,20,140,24,1682
376009,196,67,109,42,6,24,6,1143
376010,280,319,665,330,36,248,25,1307
376011,293,176,113,117,18,51,16,1518
376012,206,200,397,157,15,145,9,1572
376013,800,675,833,578,215,181,35,2331
376014,194,79,106,94,15,82,11,995
376015,108,34,24,30,14,10,6,982
376016,302,229,395,181,62,270,22,2225
376017,287,172,267,183,17,70,17,2171
376018,157,168,490,213,39,83,8,795
376019,209,513,921,345,137,357,54,876
376020,113,105,173,70,7,46,11,786
390001,1231,828,645,478,249,311,59,1961
390002,585,726,368,183,154,534,24,1597
390003,79,380,658,418,125,458,115,672
390004,190,830,497,300,67,370,42,584
390005,127,111,172,61,18,18,15,735
390006,257,401,379,215,54,265,88,2206
390007,105,263,757,222,16,207,26,481
390008,442,625,586,354,149,341,58,2843
390009,141,103,40,67,47,37,10,1102
390010,145,111,64,50,76,36,9,1833
390011,32,67,127,93,39,193,29,610
390012,295,513,978,404,190,457,52,1240
390013,100,61,65,95,27,44,12,818
390014,55,89,91,27,20,46,9,469
390015,158,147,291,102,67,164,38,993
390016,223,195,277,222,67,126,20,916
390017,142,358,518,96,103,228,22,554
400001,338,284,409,267,68,76,17,1799
400002,260,143,144,166,75,63,12,2069
400003,127,164,165,107,23,66,22,1440
400004,759,432,538,438,97,119,23,2088
400005,114,117,162,217,9,94,21,890
400006,398,438,592,414,118,100,21,3254
400007,266,260,367,143,17,40,12,1553
400008,3034,1990,1910,1112,432,238,261,5398
400009,190,307,479,391,8,47,8,1363
410001,847,1075,568,214,202,554,390,3122
410002,612,949,1531,1151,558,837,431,809
410003,253,554,862,607,420,442,320,974
410004,123,182,317,29,106,1045,645,740
410005,98,94,110,25,22,126,331,776
410006,485,405,536,294,145,404,159,1476
410007,102,131,181,68,112,209,44,1071
410008,383,253,344,241,160,171,136,1345
410009,211,318,382,179,63,117,28,1419
410010,233,171,166,131,61,250,140,1440
410011,169,159,142,53,39,73,34,969
411001,0,0,0,0,0,0,0,0
420001,707,800,1176,548,224,453,178,2775
420002,170,141,329,69,23,41,18,1151
420003,82,66,78,9,8,13,10,579
420004,96,45,28,17,21,13,9,708
420005,241,404,743,357,251,537,256,1379
420006,77,96,146,27,10,24,7,353
420007,126,72,35,48,38,30,23,976
420008,319,332,646,318,137,287,65,1108
420009,77,102,107,40,6,36,1,717
420010,86,74,48,38,17,44,21,703
420011,562,957,1294,577,334,237,180,1857
420012,50,47,63,17,11,23,19,562
420013,291,391,736,279,198,299,62,984
420014,41,23,84,19,14,40,2,501
420015,98,294,463,63,68,110,182,462
420016,210,135,288,330,151,163,18,718
420017,266,247,523,320,161,280,149,661
420018,164,173,239,117,80,46,16,846
430001,151,240,349,67,50,94,28,672
430002,130,161,227,106,26,127,22,636
430003,167,186,388,173,103,109,49,834
430004,73,90,82,50,29,36,22,655
430005,0,0,0,0,0,0,0,0
430007,850,1183,1146,811,297,534,151,3122
430008,155,224,250,86,19,66,31,1102
430009,222,169,266,59,66,64,57,1098
430010,0,0,0,0,0,0,0,0
430011,173,265,322,68,77,72,17,1121
430012,150,212,265,71,58,88,17,840
430013,178,130,169,50,36,96,11,820
430014,106,175,108,61,24,24,30,946
430015,747,955,1352,615,312,888,639,2586
430016,77,91,93,50,25,31,17,750
430017,179,178,549,126,51,75,17,922
430018,206,253,434,179,103,173,48,1041
430019,188,218,715,216,103,124,42,718
430020,299,704,755,241,119,457,268,1050
430021,201,332,309,129,108,167,145,544
430022,296,505,1014,391,218,726,525,1027
440001,199,163,139,68,57,107,52,1285
440002,695,756,1098,702,446,696,349,1834
440003,196,258,147,117,36,129,78,1369
440004,236,450,201,149,105,190,146,775
440005,375,658,1233,562,251,508,246,753
440006,393,1961,1618,587,196,572,96,575
450001,146,174,152,62,25,43,48,1074
450002,1751,2256,2282,742,298,110,596,1535
450003,688,506,662,243,200,703,341,3166
450004,147,103,73,409,164,598,189,686
450005,63,75,68,13,9,19,3,831
450006,267,620,738,178,162,377,40,604
450007,32,64,47,43,17,27,8,263
450008,22,72,125,33,6,3,3,321
450009,58,65,82,36,12,45,12,610
450010,144,251,278,208,139,204,132,489
450011,97,107,137,77,42,37,27,853
450012,30,107,195,60,9,80,6,820
450013,84,46,159,75,28,135,9,699
461001,847,234,50,974,476,278,1184,8296
461002,2243,254,88,377,303,737,1344,5797
461003,1935,535,415,31,72,64,93,1216
461004,4086,233,25,64,3,53,90,5366
461005,2093,2629,613,1650,134,323,345,583
461006,126,950,873,314,77,66,114,404
461007,190,1207,850,456,976,1433,765,601
461009,169,393,224,48,554,1626,239,680
461011,304,24,49,158,471,793,2307,8061
461012,6115,1202,1244,168,52,234,503,1348
461013,155,156,121,109,5,182,48,463
461014,329,1110,2189,1073,306,183,557,913
461016,152,220,631,1262,235,970,167,541
461017,811,2792,1368,410,235,59,37,801
461018,557,3293,747,113,135,49,63,894
461019,155,1263,904,147,708,621,772,529
461020,155,1162,2028,679,42,101,35,438
461021,325,701,225,84,105,633,71,1029
461023,597,398,154,1092,292,460,356,8995
461024,1539,131,53,57,14,21,61,3839
461025,1306,3092,1258,1200,68,402,1529,242
461026,702,2488,5010,1225,278,139,152,957
461028,269,1406,1198,564,226,448,638,702
461029,2090,904,1404,76,101,22,70,1970
461030,1462,1957,2100,1248,643,302,345,1027
461031,380,798,744,578,51,148,655,373
461032,96,94,87,51,15,65,21,533
461033,192,920,1262,671,635,625,305,838
461035,15,3671,6305,828,11,0,6,108
461036,2,0,288,3321,739,197,85,49
479001,2204,1161,1789,1088,1022,495,371,6228
479002,856,543,481,543,58,16,42,1012
479003,884,1121,1503,1478,118,592,47,1632
479004,97.58,190.63,111.20,22.13,28.37,55.60,28.93,686.48
479005,468,584,899,297,316,326,160,1011
479006,0,0,0,0,0,0,0,0
479007,144,249,453,403,195,454,125,508
479008,74.42,145.37,84.80,16.87,21.63,42.40,22.07,523.52
479009,233,283,304,246,69,411,175,1051
479010,159,624,877,490,218,201,96,880
479011,129,363,785,529,268,71,81,597
479014,110,194,175,80,20,59,16,716
479016,162,294,383,33,77,233,82,950
479017,240,287,365,121,58,167,76,1246
479019,177,211,464,169,86,172,87,1435
479021,118,88,95,36,33,61,8,818
479023,85,83,159,57,71,224,40,863
479025,114,138,100,64,12,148,27,820
479027,119,177,174,168,31,174,46,1032
480001,465,482,695,365,268,566,455,2514
480002,42,73,24,26,14,14,4,734
480003,386,327,245,95,56,80,53,2043
480004,455,1024,1489,818,317,488,402,1640
480005,116,131,101,20,15,32,21,813
480006,161,144,215,96,24,83,29,674
480007,133,94,104,59,14,53,31,890
480008,231,299,442,216,195,409,278,832
480009,155,130,165,66,31,50,16,955
480010,199,375,1461,446,184,323,297,1198
482001,78.48,87.42,74.14,71.85,16.82,8.28,4.08,558.40
482002,159.03,192.68,302.98,151.27,61.65,33.41,8.66,1539.52
482005,565.49,520.90,709.88,475.88,170.54,209.31,186.26,2865.08
482007,108.60,159.79,341.80,103.16,23.54,78.54,21.72,1159.05
482011,76.40,65.21,122.20,45.84,17.46,99.46,12.28,1003.95
492001,162,255,366,106,56,108,24,1670
492002,169,185,190,95,16,68,32,1397
492003,36,56,98,53,9,10,15,788
510001,1113.95,825.74,1417.66,1327.41,370.43,369.24,318.40,4335.54
510002,1747,1483,896,128,162,507,332,1691
510003,902.45,559.03,581.96,243.71,77.30,104.43,365.16,1503.38
510004,97.12,166.75,158.16,56.67,20.78,57.81,22.24,623.28
510005,113.89,152.60,195.12,73.56,26.44,50.95,45.78,521.97
510006,72.83,79.76,272.83,308.66,199.15,275.19,77.40,659.21
510007,0,0,0,0,0,0,0,0
510008,189.65,185.77,187.17,105.36,57.28,94.26,60.26,831.03
510009,189,349,911,258,288,428,100,391
510010,134.35,224.23,230.83,75.64,76.72,147.74,42.74,639.97
510011,136.67,195.41,100.94,81.71,40.31,47.07,16.61,641.34
