Gruppe,ValgstedId,KredsNr,StorKredsNr,LandsdelsNr,KommuneKode,KommuneNavn,Regionskode,RegionNavn
,223003,22,3,1,223,Hørsholm,1084,Region Hovedstaden
,223004,22,3,1,223,Hørsholm,1084,Region Hovedstaden
,223005,22,3,1,223,Hørsholm,1084,Region Hovedstaden
,230001,26,3,1,230,Rudersdal,1084,Region Hovedstaden
,230003,26,3,1,230,Rudersdal,1084,Region Hovedstaden
,230004,26,3,1,230,Rudersdal,1084,Region Hovedstaden
,230005,26,3,1,230,Rudersdal,1084,Region Hovedstaden
,230006,26,3,1,230,Rudersdal,1084,Region Hovedstaden
,230007,26,3,1,230,Rudersdal,1084,Region Hovedstaden
,230008,26,3,1,230,Rudersdal,1084,Region Hovedstaden
,230009,26,3,1,230,Rudersdal,1084,Region Hovedstaden
,230010,26,3,1,230,Rudersdal,1084,Region Hovedstaden
,240001,25,3,1,240,Egedal,1084,Region Hovedstaden
,240002,25,3,1,240,Egedal,1084,Region Hovedstaden
,240003,25,3,1,240,Egedal,1084,Region Hovedstaden
,240004,25,3,1,240,Egedal,1084,Region Hovedstaden
,240005,25,3,1,240,Egedal,1084,Region Hovedstaden
,240006,25,3,1,240,Egedal,1084,Region Hovedstaden
,240007,25,3,1,240,Egedal,1084,Region Hovedstaden
,240008,25,3,1,240,Egedal,1084,Region Hovedstaden
,240009,25,3,1,240,Egedal,1084,Region Hovedstaden
,250001,24,3,1,250,Frederikssund,1084,Region Hovedstaden
,250002,24,3,1,250,Frederikssund,1084,Region Hovedstaden
,250003,24,3,1,250,Frederikssund,1084,Region Hovedstaden
,250004,24,3,1,250,Frederikssund,1084,Region Hovedstaden
,250005,24,3,1,250,Frederikssund,1084,Region Hovedstaden
,250006,24,3,1,250,Frederikssund,1084,Region Hovedstaden
,253001,35,5,2,253,Greve,1085,Region Sjælland
,253002,35,5,2,253,Greve,1085,Region Sjælland
,253003,35,5,2,253,Greve,1085,Region Sjælland
,253004,35,5,2,253,Greve,1085,Region Sjælland
,253005,35,5,2,253,Greve,1085,Region Sjælland
,259001,34,5,2,259,Køge,1085,Region Sjælland
,259002,34,5,2,259,Køge,1085,Region Sjælland
,259003,34,5,2,259,Køge,1085,Region Sjælland
,259004,34,5,2,259,Køge,1085,Region Sjælland
,259005,34,5,2,259,Køge,1085,Region Sjælland
,259006,34,5,2,259,Køge,1085,Region Sjælland
,259007,34,5,2,259,Køge,1085,Region Sjælland
,259008,34,5,2,259,Køge,1085,Region Sjælland
,259009,34,5,2,259,Køge,1085,Region Sjælland
,259010,34,5,2,259,Køge,1085,Region Sjælland
,259011,34,5,2,259,Køge,1085,Region Sjælland
,260001,24,3,1,260,Halsnæs,1084,Region Hovedstaden
,260002,24,3,1,260,Halsnæs,1084,Region Hovedstaden
,260003,24,3,1,260,Halsnæs,1084,Region Hovedstaden
,260004,24,3,1,260,Halsnæs,1084,Region Hovedstaden
,260005,24,3,1,260,Halsnæs,1084,Region Hovedstaden
,265001,36,5,2,265,Roskilde,1085,Region Sjælland
,265002,36,5,2,265,Roskilde,1085,Region Sjælland
,265003,36,5,2,265,Roskilde,1085,Region Sjælland
,265004,36,5,2,265,Roskilde,1085,Region Sjælland
,265005,36,5,2,265,Roskilde,1085,Region Sjælland
,265006,36,5,2,265,Roskilde,1085,Region Sjælland
