ValgstedId,Boligtype_Antal_personer_01. Stuehuse og parcelhuse,Boligtype_Antal_personer_02. Række- og kædehuse,Boligtype_Antal_personer_03. Flerfamiliehuse,Boligtype_Antal_personer_04. Kollegier,Boligtype_Antal_personer_05. Sommerhuse,Boligtype_Antal_personer_06. Øvrige boliger
306010,1334,15,40,4,75,15
306011,2086,399,162,0,896,83
306012,481,12,6,0,166,6
306013,976,75,32,0,0,12
316001,5856,1339,3609,17,5,29
316002,3350,1318,5126,137,0,151
316003,881,572,4489,1,0,54
316004,3509,405,92,1,13,10
316005,3881,685,68,0,6,19
316006,1625,105,46,0,434,26
316007,3543,717,683,0,0,95
316008,2978,244,230,0,0,42
316009,3649,458,88,0,10,21
316010,2809,365,93,0,10,53
316011,3309,1019,756,0,3,59
316012,3563,469,259,0,0,49
316013,2702,600,291,0,0,39
316014,2902,489,112,0,0,22
316015,550,39,6,0,328,28
320001,6209,937,315,0,3,120
320002,4736,1565,2263,49,0,67
320003,3144,905,835,0,0,31
320004,2935,488,293,0,184,78
320005,2992,802,235,0,4,82
320006,3178,406,51,0,0,23
320007,2918,570,133,0,0,25
326001,2813,355,154,0,135,33
326002,262,40,3,0,36,1
326003,3347,596,195,0,272,23
326004,2114,602,303,0,0,15
326005,1361,111,45,0,254,3
326006,465,62,0,0,75,2
326007,827,45,23,0,280,0
326008,2705,309,158,0,0,9
326009,3291,1082,408,35,0,125
326010,1632,100,39,0,5,13
326011,1338,51,24,0,0,6
326012,1584,469,1756,0,0,191
326013,1264,800,1320,0,0,69
326014,1526,96,45,0,3,8
326015,3099,344,47,0,0,7
326016,3728,238,227,0,205,15
326017,646,65,18,0,62,0
326018,1886,855,1609,0,2,70
329001,4576,1677,4910,6,0,342
329002,821,18,4,0,0,18
329003,728,79,2,0,0,18
329004,3607,829,1371,0,0,43
329005,1237,28,5,0,27,38
329006,2156,918,3118,0,0,13
329008,1217,167,122,0,0,20
329009,1162,42,23,0,0,3
329010,1274,70,20,0,0,10
329011,580,103,27,0,0,6
329012,1063,21,14,0,0,14
329013,1288,33,75,0,1,17
329014,686,136,67,1,1,0
330001,2861,350,78,0,0,20
330003,1353,388,18,11,0,23
330004,1533,258,38,0,0,0
330005,3054,1568,2952,0,23,20
330006,2476,1002,3695,0,26,33
330007,1993,136,22,0,209,2
330008,3035,376,112,0,0,4
330009,2731,1744,2606,0,0,58
330010,1425,122,15,0,52,41
330011,5175,1117,2174,0,80,67
330012,0,0,0,0,0,0
330013,1238,130,24,0,4,3
330017,0,0,0,0,0,0
330019,3685,1126,8019,19,0,224
330021,3890,1587,942,0,0,16
330022,3305,1248,4010,39,0,87
330024,1291,15,21,0,0,4
330025,2011,217,53,0,784,5
336001,4717,858,95,0,1,139
336002,5108,814,304,2,943,61
336003,4037,1027,832,0,0,34
336004,3108,410,130,0,133,52
340001,4351,749,559,0,0,150
340002,1476,461,146,0,0,30
340004,1668,144,23,0,0,9
340005,2597,714,1940,74,0,105
340006,3965,545,547,0,0,72
340008,2888,1037,216,0,6,25
340010,4378,669,258,2,17,60
350001,2909,731,90,0,377,128
350002,2047,162,16,0,326,63
350003,1135,139,5,0,274,36
350004,1306,71,11,0,51,20
350005,1175,53,0,0,0,73
350006,3186,1132,468,2,0,172
350008,2569,221,47,0,1,78
350009,2145,500,65,0,118,26
350011,2094,696,38,0,0,30
350012,2852,244,80,0,4,30
360001,642,45,2,0,36,3
360003,1933,360,130,0,1,47
360008,855,46,14,0,3,0
360011,1905.53,270.13,105.76,0,1,35.48
360013,3834,1150,1688,0,21,156
360014,0,0,0,0,0,0
360019,2832,220,32,0,8,41
360020,4645,1839,2138,80,0,27
