ValgstedId,Boligtype_Antal_boliger_01. Stuehuse og parcelhuse,Boligtype_Antal_boliger_02. Række- og kædehuse,Boligtype_Antal_boliger_03. Flerfamiliehuse,Boligtype_Antal_boliger_04. Kollegier,Boligtype_Antal_boliger_05. Sommerhuse,Boligtype_Antal_boliger_06. Øvrige boliger
260005,603,372,53,0,374,6
265001,395,139,2237,66,0,33
265002,1167,364,1132,25,0,14
265003,1158,800,1711,179,0,26
265004,549,163,1591,168,0,45
265005,841,67,2352,623,2,68
265006,1638,1173,406,161,1,50
265007,949,865,35,16,0,2
265008,690,270,5,12,0,19
265009,383,17,12,36,1,6
265010,291,353,3414,99,0,4
265011,949,372,37,11,39,12
265013,2202,287,56,0,118,12
265014,830,315,25,0,0,13
265015,937,550,34,0,0,2
265016,770,111,10,0,5,4
265017,1760,473,210,29,2,52
265018,398,9,4,0,0,4
265021,284,572,1052,719,0,10
269001,1165,628,183,0,0,31
269004,1722,587,826,0,4,252
269005,2099,842,1313,0,4,48
270001,1034,101,52,0,804,16
270002,847,146,86,0,277,14
270003,181,9,1,0,2,4
270004,1293,356,258,0,173,22
270005,792,70,14,0,46,2
270006,1793,734,294,0,286,30
270007,405,15,29,0,192,5
270008,1882,1146,586,0,0,43
270009,367,14,19,0,0,4
270010,995,102,13,0,79,3
270011,736,114,45,0,348,10
270012,465,58,77,0,291,11
306001,1129,512,266,0,108,15
306002,1159,220,105,1,265,10
306003,761,68,73,0,309,7
306004,1056,256,201,0,2,16
306005,408,56,15,0,196,5
306006,969,271,118,0,161,21
306007,1468,734,886,0,214,39
306008,481,125,53,0,202,12
306010,578,8,31,4,52,8
306011,915,285,106,0,571,12
306012,219,12,5,0,110,4
306013,411,54,24,0,0,9
316001,2135,704,1798,17,5,9
316002,1220,757,2937,127,0,48
316003,306,309,2774,1,0,14
316004,1335,225,48,1,8,5
316005,1418,368,47,0,5,6
316006,655,78,29,0,281,8
316007,1310,426,422,0,0,36
316008,1180,171,125,0,0,15
316009,1355,285,53,0,7,8
316010,1117,221,57,0,7,12
316011,1350,616,438,0,2,19
316012,1441,275,116,0,0,13
316013,1092,386,180,0,0,10
316014,1111,293,62,0,0,7
316015,248,31,5,0,209,5
320001,2329,563,207,0,2,43
320002,1862,942,1245,1,0,28
320003,1276,528,563,0,0,14
320004,1270,346,185,0,119,11
320005,1249,450,146,0,3,9
320006,1250,240,18,0,0,10
320007,1211,343,75,0,0,9
326001,1210,239,95,0,84,5
326002,153,34,1,0,21,1
326003,1395,383,121,0,185,10
326004,885,386,202,0,0,6
326005,570,69,31,0,159,1
326006,228,45,0,0,46,2
326007,351,37,12,0,176,0
326008,1095,232,89,0,0,4
326009,1329,671,262,2,0,115
326010,695,59,14,0,3,7
326011,560,23,10,0,0,4
326012,672,285,1135,0,0,41
326013,545,462,874,0,0,57
326014,600,68,24,0,1,3
326015,1254,207,21,0,0,4
326016,1532,142,166,0,121,7
326017,310,39,12,0,40,0
326018,779,546,848,0,1,70
329001,1587,886,2911,6,0,124
329002,299,11,2,0,0,4
329003,269,38,2,0,0,3
329004,1348,433,704,0,0,10
329005,493,7,3,0,15,9
329006,836,428,1746,0,0,3
329008,448,90,50,0,0,6
329009,472,22,12,0,0,1
329010,477,35,14,0,0,3
329011,220,66,17,0,0,2
329012,414,10,8,0,0,5
329013,478,19,61,0,1,8
329014,275,66,30,1,1,0
330001,1158,200,34,0,0,8
330003,506,216,6,2,0,7
330004,632,149,24,0,0,0
330005,1257,846,1838,0,14,6
330006,1021,550,2103,0,17,19
330007,815,80,12,0,131,1
330008,1158,233,41,0,0,3
330009,1023,854,1518,0,0,8
330010,632,88,8,0,35,4
330011,2182,711,1325,0,52,24
330012,0,0,0,0,0,0
330013,480,98,12,0,1,1
330017,0,0,0,0,0,0
330019,1360,653,4883,17,0,22
330021,1489,868,626,0,0,9
330022,1255,685,2224,32,0,21
330024,512,8,16,0,0,1
