ValgstedId,Kriminalitet D. Strafferetslige afgørelser efter oprindelse_1. Dansk oprindelse,Kriminalitet D. Strafferetslige afgørelser efter oprindelse_2. Indvandrere,Kriminalitet D. Strafferetslige afgørelser efter oprindelse_3. Efterkommere
479016,42,1,1
479017,44,8,1
479019,47,2,0
479021,22,0,0
479023,32,5,0
479025,41,2,0
479027,58,7,3
480001,198,21,1
480002,32,7,2
480003,102,7,0
480004,160,21,1
480005,31,0,0
480006,51,3,1
480007,57,7,0
480008,48,3,0
480009,57,3,0
480010,111,15,1
482001,20.47,1.03,0
482002,48.21,3.46,0
482005,129.32,8.51,0
482007,57.79,3.72,0
482011,47.21,3.28,0
492001,42,1,0
492002,39,1,0
492003,32,1,0
510001,254.82,57.87,18.34
510002,129,55,12
510003,81.91,12.08,2.65
510004,32.11,6.26,0
510005,22.06,4.81,0
510006,42.26,2.83,0
510007,0,0,0
510008,32.35,6.42,0
510009,59,7,2
510010,35.65,3.58,0
510011,54.38,2.10,2.05
510012,25.63,1.12,0.06
510013,24.28,3.04,4.01
510014,69.99,8.78,2.89
510015,41,4,0
510016,27,2,0
510017,147.35,15.88,2
510018,81.23,10.22,1
510019,45,3,0
510020,95.51,11.85,1
510021,28.16,2.83,0
510022,24.33,1.32,0
530001,108,23,1
530002,45,4,0
530003,48,5,0
530004,27,2,0
530005,21,4,0
530006,184,53,3
530007,54,5,1
540001,116,19,5
540002,55,8,1
540003,74,10,2
540004,74,5,0
540005,60,7,1
540006,47,3,1
540007,50,4,2
540008,16,1,0
540009,126,86,29
540010,128,59,13
540011,185,39,11
540012,104,9,3
540013,60,2,1
540014,42,6,1
540015,97,10,0
540016,143,22,4
540017,31,3,1
550001,29,1,1
550002,28,1,1
550003,11,0,0
550004,41,3,0
550007,19,3,0
550008,21,2,0
550012,80,6,0
550014,34,5,1
550015,39,2,0
550016,23,6,0
550017,66,4,1
550018,22,4,1
550019,30,5,0
550021,12,4,0
550023,108,18,0
550024,30,3,0
550025,176,31,2
550027,35,3,0
550029,23,1,0
550051,11,1,0
550061,91,7,0
550071,29,3,0
561002,375,43,25
561003,85,7,2
561004,97,12,7
561005,118,53,42
561006,108,14,6
561007,121,44,9
561008,40,4,0
561011,62,13,2
561012,72,6,2
561015,111,6,6
561016,122,2,0
561017,29,3,0
561020,68,2,0
561021,76,33,19
561022,75,3,0
561023,51,5,3
561024,53,3,2
561025,230,20,3
561028,214,22,3
561032,52,2,0
561033,58,4,0
561035,0,0,0
561038,46,4,0
561040,95,6,0
563001,36,3,2
563002,4,1,0
573001,316,41,11
573004,28,4,0
573005,12,6,0
573006,15,4,0
573007,35,2,0
573008,34,7,0
573009,32,9,0
573010,43,3,1
573013,51,6,0
573014,22,3,0
573015,40,15,0
573018,64,13,0
573019,11,2,0
573022,32,1,0
573023,32,6,2
573024,13,7,1
573026,27,0,0
573027,34,3,0
573028,30,5,0
573030,148,13,1
573031,51,5,0
573032,34,4,1
573033,24,0,0
575001,139,22,1
575002,24,1,0
575003,80,10,0
575004,31,4,0
575005,42,2,0
575006,17,3,0
575007,96,10,1
575008,29,3,0
575009,45,4,1
575010,18,5,0
575011,45,1,1
575012,9,2,0
575013,30,2,0
575014,181,41,6
575015,13,0,1
575016,54,4,0
575017,24,3,0
575018,39,2,0
575019,82,10,0
580001,26,0,1
580002,28,5,0
580003,100,10,6
580004,88,7,0
580005,38,5,1
580006,28,6,0
580007,50,5,0
580008,45,4,1
580009,58,3,1
580010,34,3,0
580011,65,10,0
580012,98,12,0
580013,54,8,5
580014,83,16,0
580015,77,32,0
580016,231,55,13
580017,64,21,5
580018,56,24,7
607001,316,74,28
607002,37,1,0
607003,168,20,1
607004,21,0,0
607005,116,8,1
607006,168,95,24
607007,44,2,0
607008,210,32,10
615001,117,42,15
615002,190,34,7
615003,300,80,6
615004,0,0,0
615005,159,27,6
615006,158,30,9
615007,102,17,3
615008,47,4,2
615009,70,4,0
615010,51,7,1
615011,92,5,3
615012,53,7,3
615013,122,5,0
615014,72,5,0
615015,36,2,0
615016,78,6,0
615017,55,7,0
615018,73,11,0
615019,42,4,0
615020,19,0,0
615021,40,53,15
615022,19,2,0
621001,199,37,12
621002,93,85,26
621003,82,55,14
621004,165,9,1
621005,80,13,8
621006,95,7,0
621007,155,13,3
621008,137,36,15
621009,199,15,4
621010,110,11,2
621011,62,6,2
621012,95,6,0
621013,57,1,0
621014,193,26,6
621015,165,10,1
630001,90,7,0
630002,133,5,2
630003,36,7,0
630004,70,4,0
630005,48,1,0
630006,95,10,0
630007,22,3,0
630008,53,1,0
630009,408,140,39
630010,35,4,0
630011,68,3,0
630012,61,5,1
630013,55,36,15
630014,45,19,6
630015,109,25,4
630016,40,1,0
630017,119,11,0
630018,42,2,1
630019,39,6,0
630020,27,4,0
630021,30,9,0
630022,16,3,0
630023,39,4,0
630024,121,13,0
630025,42,7,0
630026,31,3,1
630027,41,2,1
630028,41,5,0
630029,37,5,0
630030,78,78,33
630031,47,10,1
630032,169,18,6
630033,66,11,1
630034,81,7,4
657001,566,177,41
657002,49,2,0
657005,103,16,0
657006,46,3,0
657007,115,8,1
657008,81,11,0
657009,33,2,1
657011,24,2,0
657013,84,7,0
657014,15,1,0
657015,58,13,3
657016,36,4,0
657017,167,19,4
657018,27,2,0
657019,36,6,0
657020,17,1,0
657021,25,2,0
657022,21,5,1
657023,91,4,3
657024,96,3,0
657025,38,5,0
657026,88,18,5
657027,84,4,1
657028,11,0,0
657029,41,2,0
657030,31,4,0
661001,459,42,6
661002,100,6,0
661003,65,4,0
661004,92,2,0
661005,240,77,25
661006,134,20,4
661007,53,7,0
661008,74,9,0
661009,55,5,0
661010,26,1,0
665001,148,11,2
665002,56,7,0
665003,36,4,1
665004,51,5,0
665005,35,0,0
665006,47,4,0
665007,92,4,0
665008,42,1,0
671001,150,52,7
671002,46,6,0
671003,48,5,0
671004,37,5,0
671005,28,0,0
671006,44,3,0
671007,83,5,0
706001,184,19,7
706002,98,2,0
706003,57,6,2
706004,100,6,2
706005,136,13,2
706006,136,16,1
706007,94,13,0
706008,191,33,1
707001,263,32,4
707002,0,0,0
707003,94,5,0
707004,141,30,5
707005,104,12,1
707006,65,1,1
707007,97,6,1
707008,56,6,0
707009,79,7,1
707010,48,2,0
710001,95,6,2
710002,60,7,1
710003,57,11,0
710004,116,25,1
710005,49,4,0
710006,70,9,3
710007,59,5,0
710008,31,7,0
710009,106,11,1
710010,90,14,0
710011,49,9,1
710012,27,5,0
710013,37,4,0
710014,24,9,5
727001,186,27,5
727002,13,0,0
727003,40,2,0
727004,22,3,0
727005,41,2,0
727006,30,0,0
727007,24,2,1
727008,26,1,1
727009,0,0,0
727010,0,0,0
730001,65,6,0
730002,37,2,0
730004,12,2,1
730005,58,2,0
730006,46,5,0
730007,48,1,0
730008,39,1,0
730009,47,5,0
730010,33,2,0
730011,63.37,3.96,0.99
730012,44,3,0
730013,78,6,1
730014,40,1,0
730015,12,2,1
730016,32,3,0
730017,32,2,0
730021,52,3,0
730024,155.63,17.04,5.01
730025,106,15,4
730026,111,37,10
730027,135,40,14
730028,183,24,6
730029,113,20,6
730030,86,17,3
730031,136,8,0
730032,74,7,1
730033,27,0,1
730034,54,6,0
730036,78,2,0
730037,13,1,0
740001,107,4,1
740002,79,11,0
740003,39,25,1
740004,64,8,1
740005,32,3,0
740006,124,24,2
740007,140,18,3
740008,28,3,1
740009,36,3,0
740010,41,5,1
740011,42,2,2
740012,25,3,0
740013,64,1,1
740014,36,1,0
740015,37,3,1
740016,80,9,0
740017,40,0,0
740018,40,1,0
740021,78,8,4
740022,72,5,1
740023,103,4,0
740024,27,1,0
740025,22,2,0
740026,60,6,4
740027,81,7,3
740028,113,13,4
740029,133,60,20
740030,99,3,1
740031,269,27,8
740032,61,5,0
741001,53,3,2
741002,7,1,0
746001,58,3,0
746002,106,9,4
746003,35,3,1
746004,135,12,2
746005,68,7,2
746006,170,28,3
746007,123,21,1
746008,128,11,0
746009,76,3,5
746010,72,5,0
746011,29,5,0
746012,30,3,0
751001,215,13,9
751002,105,35,13
751003,103,33,13
751004,73,13,10
751006,137,35,6
751007,112,26,10
751008,219,70,32
751009,79,10,1
751010,175.04,23.09,14.43
751011,78,10,3
751012,62,3,0
751013,89,13,2
751014,57.28,6.28,3.40
751016,16,1,2
751018,102,23,9
751019,59,14,7
751020,107.88,43.50,39.10
751021,245.80,99.13,89.08
751022,48,16,3
751023,126,70,53
751024,101,35,32
751025,38,229,182
751026,69,45,39
751027,119,23,14
751028,117,95,62
751030,93,16,9
751031,12,5,1
751033,66,22,16
751041,108,21,5
751042,156,33,18
751043,92,49,21
751044,43,15,3
751045,145,10,0
751047,145,29,8
751048,38,6,1
751049,68,16,0
751050,93,10,3
751051,135,14,6
751053,60,18,8
751055,23,3,3
751056,32,3,0
751061,135,26,22
751062,43,97,43
751063,123,118,112
751064,124,52,21
751065,104,17,5
751066,82,16,6
751067,91,24,16
751068,51,22,11
756001,57,5,1
756002,46,6,0
756003,80,4,1
756004,42,3,0
756005,186,28,0
756006,30,2,0
756007,334,60,45
756008,29,3,0
756009,92,5,0
756010,80,12,0
760001,138.93,18.68,0.90
760002,28,3,0
760004,34.54,5.74,0.10
760007,77.53,7.58,1
760010,74,7,1
760012,22,1,0
760014,148,29,1
760016,38,9,0
760021,60,7,0
760022,46,9,0
760024,170,15,2
760025,25,4,0
760027,56,7,1
760028,30,3,0
760030,96,3,0
760032,55,6,0
760033,54,4,0
760035,88,9,0
766001,247,21,1
766002,92,11,5
766003,62,11,0
766004,43,7,0
766005,11,1,0
766006,47,4,0
766007,98,11,0
766010,0,0,0
766011,50,3,1
766012,51,3,0
766013,45,8,0
766014,56,3,0
766015,65,4,0
766017,91,7,0
766020,52,7,2
766021,76,7,0
766022,40,5,0
766023,52,1,0
766024,20,3,1
773001,43,2,0
773002,161.15,4.93,0.57
773003,98.98,8.34,0.63
773004,83,8,0
773005,273.86,20.73,2.80
779020,17,1,0
779021,502,62,8
779022,126,7,0
779023,83,11,0
779024,103,9,1
779025,77,3,0
779026,93,9,1
779027,85,9,0
787001,398.91,55.51,7
787002,118.72,12.06,1
787003,129.56,10.71,0
787004,117.91,15.73,1
787005,100.44,7.17,0
787006,34,2,0
787007,85.11,4.25,0
787008,103.08,5.69,0
787009,40.70,2.29,0
787010,59,2,0
787011,37.23,2.94,0
787012,74.25,7.35,0
787013,60.09,6.30,0
787014,26,1,0
787015,35,0,0
791001,93,9,0
791002,66,7,1
791003,84,7,2
791004,76,7,2
791005,62,6,0
791006,66,8,0
791007,65,5,0
791008,611,104,17
791009,198,24,1
791011,70,5,0
791012,112,8,0
791013,203,33,2
791014,77,1,2
791015,75,7,0
791016,84,8,0
791017,78,6,1
810001,35,2,0
810002,38,1,0
810003,113,8,0
810004,58,1,1
810005,93,2,1
810006,63,5,0
810010,227,59,10
810034,22,1,0
810040,33,0,0
810050,38,4,0
810056,24,3,0
810070,81,5,0
810080,31,0,1
813001,128,20,0
813002,44,3,0
813003,18,1,0
813004,39,2,0
813005,52,4,0
813006,474,76,9
813007,34,0,0
813008,39,1,0
813009,162,7,2
813010,43,6,0
813011,38,1,2
813012,26,3,0
813013,52,0,0
813014,18,2,0
813015,60,2,0
820001,101,11,2
820002,113,15,0
820003,29,2,0
820004,170,26,1
820005,47,2,0
820006,34,3,0
820007,54,6,0
820008,62,9,0
820009,48,6,0
820010,110,8,3
820011,52,2,0
820012,43,2,0
820013,35,2,0
820014,29,1,0
825015,20,1,0
840001,169,14,0
840002,76,4,0
840003,69,2,0
840004,58,4,1
840005,80,7,0
840006,38,2,0
840007,46,5,0
840008,55,5,0
840009,27,0,0
840010,65,5,0
840011,15,3,0
846002,74,9,0
846003,97,3,1
846004,112,8,1
846008,66,5,1
846009,81,4,1
846011,148,18,4
846014,34,2,0
846018,79,2,0
846020,79,4,0
846022,57,8,1
846027,237,31,7
849001,88,6,0
849002,41,1,0
849003,31,2,0
849004,22,0,0
849005,20,3,0
849006,20,2,0
849007,16,1,0
849008,81,15,2
849009,47,4,0
849010,29,2,0
849011,41,3,0
849012,38,4,0
849013,91,3,2
849014,47,1,0
849015,33,3,1
849016,48,3,0
849018,159,16,1
849020,31,2,0
849021,20,3,0
851003,161.80,28.65,3.93
851004,126.20,22.35,3.07
851005,247,57,29
851007,45,5,0
851009,64.63,6.20,0.44
851010,81.37,7.80,0.56
851011,146,12,2
851012,114.41,20.21,8.46
851014,114,17,6
851015,220,23,6
851016,304.59,53.79,22.54
851017,165,21,8
851018,84,18,3
851019,133.34,17.69,2.53
851020,77.66,10.31,1.47
851022,118,6,1
851024,145,13,0
851027,172.26,39.45,11.23
851028,137.84,30.17,9.36
851029,150.60,38.03,13.32
851030,106.67,27.39,5.77
851031,155,22,10
851032,73,20,9
851033,78,8,0
851034,97.05,11.14,3.98
851035,108,6,0
851036,94.58,23.82,8.35
851038,59,8,1
851040,160,69,22
851043,133,9,0
851044,105,3,0
851046,44,2,0
851047,125,7,0
851052,49,3,0
851056,81,0,1
851058,67,4,0
851061,149,5,0
860001,38,3,0
860003,89,18,1
860004,146,29,5
860006,23,1,0
860007,28,5,0
860008,39,2,0
860011,67,8,0
860012,54,5,1
860013,26,1,0
860014,35,5,0
860015,102,9,1
860016,106,7,4
860018,73,17,4
860019,111,12,1
860020,40,5,0
860021,72,4,0
860022,70,8,0
860023,29,2,0
860026,35,0,0
860027,24,2,0
860028,36,7,1
